,Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),year,region
5,6 Jul,0.0,0.0,0.0,0.0,28.8,31.0,27.6,9.0,24.1,2022,Pasir Panjang
6,7 Jul,0.0,0.0,0.0,0.0,29.6,31.4,28.6,11.4,31.3,2022,Pasir Panjang
7,8 Jul,7.6,4.0,6.6,7.4,28.7,30.9,24.6,10.1,58.3,2022,Pasir Panjang
8,9 Jul,0.0,0.0,0.0,0.0,29.7,32.2,28.5,9.4,27.8,2022,Pasir Panjang
9,10 Jul,2.2,2.2,2.2,2.2,28.3,29.9,24.8,9.6,46.9,2022,Pasir Panjang
10,11 Jul,0.0,0.0,0.0,0.0,29.0,32.3,27.1,9.0,27.4,2022,Pasir Panjang
11,12 Jul,0.0,0.0,0.0,0.0,28.7,30.2,28.0,12.4,36.7,2022,Pasir Panjang
12,13 Jul,0.0,0.0,0.0,0.0,29.0,30.0,28.3,8.8,27.4,2022,Pasir Panjang
13,14 Jul,2.8,1.4,1.6,1.6,29.3,30.9,28.5,9.5,23.3,2022,Pasir Panjang
14,15 Jul,0.0,0.0,0.0,0.0,29.3,31.0,28.4,10.6,27.4,2022,Pasir Panjang
15,16 Jul,0.0,0.0,0.0,0.0,29.5,32.0,28.2,11.2,32.4,2022,Pasir Panjang
16,17 Jul,0.0,0.0,0.0,0.0,30.2,33.3,28.8,11.4,26.3,2022,Pasir Panjang
17,18 Jul,0.0,0.0,0.0,0.0,30.0,32.8,28.6,10.9,25.6,2022,Pasir Panjang
18,19 Jul,0.0,0.0,0.0,0.0,30.2,33.0,28.6,12.2,30.2,2022,Pasir Panjang
19,20 Jul,3.0,1.2,1.2,1.8,27.5,29.9,23.2,10.7,71.7,2022,Pasir Panjang
20,21 Jul,0.0,0.0,0.0,0.0,29.4,32.0,28.3,8.6,27.0,2022,Pasir Panjang
21,22 Jul,2.0,1.6,2.0,2.0,28.3,31.3,26.2,6.6,37.4,2022,Pasir Panjang
22,23 Jul,0.0,0.0,0.0,0.0,28.4,31.6,26.8,6.3,28.9,2022,Pasir Panjang
23,24 Jul,3.4,1.8,2.4,2.6,27.8,31.0,26.5,5.5,23.3,2022,Pasir Panjang
24,25 Jul,1.2,1.2,1.2,1.2,27.7,29.4,25.0,7.1,45.0,2022,Pasir Panjang
25,26 Jul,7.2,1.6,2.6,3.4,27.1,29.3,24.5,9.3,41.1,2022,Pasir Panjang
26,27 Jul,0.0,0.0,0.0,0.0,29.6,32.1,27.9,12.1,29.8,2022,Pasir Panjang
27,28 Jul,0.2,0.2,0.2,0.2,29.6,32.6,28.5,11.2,34.3,2022,Pasir Panjang
28,29 Jul,8.2,5.2,6.8,7.8,28.3,31.2,23.9,13.6,88.2,2022,Pasir Panjang
29,30 Jul,0.0,0.0,0.0,0.2,28.7,30.8,26.7,11.2,30.6,2022,Pasir Panjang
30,31 Jul,0.0,0.0,0.0,0.0,29.4,32.7,28.0,10.2,28.2,2022,Pasir Panjang
0,1 Jun,4.6,4.6,4.6,4.6,29.8,31.0,25.0,9.6,58.0,2022,Pasir Panjang
1,2 Jun,56.2,35.2,55.4,56.2,28.2,29.6,23.4,10.0,51.5,2022,Pasir Panjang
2,3 Jun,1.2,1.2,1.2,1.2,28.6,30.2,26.0,8.1,53.0,2022,Pasir Panjang
3,4 Jun,7.8,2.4,3.8,4.6,28.4,31.1,24.5,8.3,45.7,2022,Pasir Panjang
4,5 Jun,0.0,0.0,0.0,0.0,28.8,31.3,27.4,7.1,28.5,2022,Pasir Panjang
5,6 Jun,1.6,1.2,1.4,1.4,28.8,31.3,25.1,8.1,45.4,2022,Pasir Panjang
6,7 Jun,9.0,6.8,7.8,9.0,28.2,30.3,24.3,6.9,35.9,2022,Pasir Panjang
7,8 Jun,1.8,1.6,1.8,1.8,28.7,32.4,25.5,10.4,43.9,2022,Pasir Panjang
8,9 Jun,1.2,1.2,1.2,1.8,28.1,30.3,26.1,7.9,28.9,2022,Pasir Panjang
9,10 Jun,2.8,1.6,2.8,2.8,29.1,31.3,27.8,9.8,29.1,2022,Pasir Panjang
10,11 Jun,7.6,3.0,4.2,5.0,27.5,29.9,24.5,13.8,40.0,2022,Pasir Panjang
11,12 Jun,7.2,6.6,7.2,7.2,27.8,29.6,23.6,10.2,44.6,2022,Pasir Panjang
12,13 Jun,16.8,9.4,13.4,16.6,27.9,30.3,23.1,8.2,35.6,2022,Pasir Panjang
13,14 Jun,0.0,0.0,0.0,0.0,28.4,30.7,25.4,9.8,36.3,2022,Pasir Panjang
14,15 Jun,0.0,0.0,0.0,0.0,28.7,30.0,27.7,8.4,29.8,2022,Pasir Panjang
15,16 Jun,10.4,5.8,6.2,9.0,27.1,28.8,24.9,8.7,45.4,2022,Pasir Panjang
16,17 Jun,0.0,0.0,0.0,0.0,28.4,30.5,26.4,7.3,24.1,2022,Pasir Panjang
17,18 Jun,0.0,0.0,0.0,0.0,28.0,30.0,25.4,8.0,37.0,2022,Pasir Panjang
18,19 Jun,0.0,0.0,0.0,0.0,28.5,31.0,26.3,8.1,30.6,2022,Pasir Panjang
19,20 Jun,49.2,27.8,32.8,33.6,26.7,28.1,23.5,12.3,63.0,2022,Pasir Panjang
20,21 Jun,-,-,-,-,27.7,29.1,24.2,8.7,42.8,2022,Pasir Panjang
21,22 Jun,0.6,0.6,0.6,0.6,28.2,30.4,26.3,12.9,41.5,2022,Pasir Panjang
22,23 Jun,0.8,0.4,0.4,0.4,27.9,28.9,26.7,10.4,35.9,2022,Pasir Panjang
23,24 Jun,24.2,17.8,19.0,19.0,27.6,29.3,22.8,10.4,35.2,2022,Pasir Panjang
24,25 Jun,12.4,7.4,8.6,10.0,26.8,28.4,23.9,9.8,55.7,2022,Pasir Panjang
25,26 Jun,0.0,0.0,0.0,0.0,28.9,32.0,27.4,10.7,28.5,2022,Pasir Panjang
26,27 Jun,0.0,0.0,0.0,0.0,29.4,32.5,28.0,10.1,28.5,2022,Pasir Panjang
27,28 Jun,11.0,10.2,10.4,10.6,28.0,31.2,24.9,8.0,43.5,2022,Pasir Panjang
28,29 Jun,0.0,0.0,0.0,0.0,28.7,31.0,26.7,9.0,30.9,2022,Pasir Panjang
29,30 Jun,6.8,5.0,5.8,6.6,27.8,29.1,24.0,15.2,67.6,2022,Pasir Panjang
0,1 May,0.4,0.2,0.2,0.2,29.1,31.8,26.5,9.0,30.2,2022,Pasir Panjang
1,2 May,1.6,0.8,1.0,1.2,28.4,30.5,25.6,10.6,62.2,2022,Pasir Panjang
2,3 May,7.2,3.2,3.8,5.0,28.2,30.1,25.0,12.4,54.8,2022,Pasir Panjang
3,4 May,32.0,18.8,25.4,28.4,28.4,30.3,24.6,12.8,54.1,2022,Pasir Panjang
4,5 May,0.0,0.0,0.0,0.0,29.1,31.8,27.4,9.6,34.3,2022,Pasir Panjang
5,6 May,0.0,0.0,0.0,0.0,29.9,33.1,28.5,8.6,27.4,2022,Pasir Panjang
6,7 May,13.2,7.6,11.0,11.2,28.0,30.3,24.2,9.4,56.5,2022,Pasir Panjang
7,8 May,1.6,0.8,1.2,1.4,28.7,30.5,26.7,8.9,42.4,2022,Pasir Panjang
8,9 May,0.2,0.2,0.2,0.2,30.1,33.5,27.8,10.6,32.8,2022,Pasir Panjang
9,10 May,0.0,0.0,0.0,0.0,30.6,34.3,28.1,9.7,35.0,2022,Pasir Panjang
10,11 May,32.4,13.4,18.2,27.8,28.3,30.9,24.5,9.3,65.9,2022,Pasir Panjang
11,12 May,0.0,0.0,0.0,0.0,30.2,32.5,28.5,15.9,57.6,2022,Pasir Panjang
12,13 May,0.0,0.0,0.0,0.0,30.2,34.2,28.0,6.9,23.7,2022,Pasir Panjang
13,14 May,0.0,0.0,0.0,0.0,30.2,33.2,28.6,8.4,25.2,2022,Pasir Panjang
14,15 May,0.0,0.0,0.0,0.0,29.8,33.6,27.2,8.0,34.6,2022,Pasir Panjang
15,16 May,70.4,38.2,61.4,69.8,27.6,29.9,23.6,11.4,60.6,2022,Pasir Panjang
16,17 May,0.0,0.0,0.0,0.0,29.2,31.9,26.3,8.0,25.6,2022,Pasir Panjang
17,18 May,0.0,0.0,0.0,0.0,30.3,32.9,28.7,8.6,26.7,2022,Pasir Panjang
18,19 May,27.0,18.4,18.8,18.8,28.4,31.4,24.7,8.0,47.2,2022,Pasir Panjang
19,20 May,1.6,1.6,1.6,1.6,29.1,31.6,26.5,6.0,24.8,2022,Pasir Panjang
20,21 May,0.0,0.0,0.0,0.0,29.7,31.9,27.4,7.7,30.6,2022,Pasir Panjang
21,22 May,0.0,0.0,0.0,0.0,29.9,32.1,28.5,9.8,40.4,2022,Pasir Panjang
22,23 May,0.0,0.0,0.0,0.0,30.0,32.5,28.2,9.6,32.4,2022,Pasir Panjang
23,24 May,0.0,0.0,0.0,0.0,30.2,33.2,27.3,9.0,29.1,2022,Pasir Panjang
24,25 May,15.0,10.8,11.2,11.2,28.1,32.0,24.8,12.8,70.9,2022,Pasir Panjang
25,26 May,0.0,0.0,0.0,0.0,28.9,31.8,26.2,10.0,31.3,2022,Pasir Panjang
26,27 May,0.0,0.0,0.0,0.0,30.3,32.5,28.6,14.1,48.5,2022,Pasir Panjang
27,28 May,0.0,0.0,0.0,0.0,29.4,30.9,26.2,12.1,51.1,2022,Pasir Panjang
28,29 May,0.0,0.0,0.0,0.0,30.7,33.2,29.1,12.0,36.3,2022,Pasir Panjang
29,30 May,0.0,0.0,0.0,0.0,30.8,33.5,28.9,10.7,34.3,2022,Pasir Panjang
30,31 May,0.0,0.0,0.0,0.0,30.3,33.1,28.6,9.7,44.6,2022,Pasir Panjang
0,1 Apr,0.0,0.0,0.0,0.0,29.3,33.0,27.1,9.8,37.0,2022,Pasir Panjang
1,2 Apr,32.6,17.4,30.4,32.6,28.4,31.9,24.7,7.6,41.5,2022,Pasir Panjang
2,3 Apr,2.2,2.2,2.2,2.2,27.7,29.6,25.6,6.1,29.8,2022,Pasir Panjang
3,4 Apr,0.0,0.0,0.0,0.0,28.0,31.5,24.7,9.0,33.5,2022,Pasir Panjang
4,5 Apr,0.0,0.0,0.0,0.0,28.7,31.6,27.1,9.2,32.0,2022,Pasir Panjang
5,6 Apr,0.0,0.0,0.0,0.0,28.5,31.6,26.2,9.6,36.3,2022,Pasir Panjang
6,7 Apr,2.0,1.2,1.6,1.6,26.9,28.1,24.7,10.3,43.2,2022,Pasir Panjang
7,8 Apr,0.0,0.0,0.0,0.0,28.4,33.1,25.9,10.5,41.5,2022,Pasir Panjang
8,9 Apr,3.8,3.2,3.8,3.8,27.0,29.0,23.7,9.9,67.0,2022,Pasir Panjang
9,10 Apr,0.0,0.0,0.0,0.0,28.2,32.0,26.8,7.1,28.9,2022,Pasir Panjang
10,11 Apr,41.4,30.4,37.2,40.2,27.4,29.9,23.3,5.6,36.3,2022,Pasir Panjang
11,12 Apr,0.0,0.0,0.0,0.0,28.6,31.8,26.0,7.2,37.0,2022,Pasir Panjang
12,13 Apr,1.2,0.8,1.2,1.2,28.4,30.3,26.0,7.7,37.8,2022,Pasir Panjang
13,14 Apr,0.4,0.4,0.4,0.4,28.8,32.8,24.2,11.1,64.4,2022,Pasir Panjang
14,15 Apr,40.8,14.8,28.6,39.4,28.4,30.7,23.8,10.5,56.9,2022,Pasir Panjang
15,16 Apr,1.6,1.4,1.6,1.6,28.8,31.1,24.6,9.0,75.6,2022,Pasir Panjang
16,17 Apr,42.6,25.2,36.0,39.2,29.0,32.7,25.1,8.5,44.6,2022,Pasir Panjang
17,18 Apr,32.6,9.8,16.6,18.6,27.1,33.8,24.3,10.1,56.1,2022,Pasir Panjang
18,19 Apr,16.4,15.2,15.4,15.4,27.5,30.7,25.5,6.9,39.3,2022,Pasir Panjang
19,20 Apr,7.6,4.0,4.0,7.6,27.9,32.6,25.0,7.3,37.8,2022,Pasir Panjang
20,21 Apr,24.4,15.4,22.0,22.4,26.6,27.7,22.9,6.3,47.6,2022,Pasir Panjang
21,22 Apr,0.0,0.0,0.0,0.0,29.2,33.6,26.1,7.6,30.9,2022,Pasir Panjang
22,23 Apr,28.6,19.8,28.0,28.6,28.2,33.0,22.4,6.3,67.0,2022,Pasir Panjang
23,24 Apr,0.4,0.4,0.4,0.4,29.0,31.8,26.9,5.6,27.0,2022,Pasir Panjang
24,25 Apr,0.0,0.0,0.0,0.0,29.1,32.6,27.6,7.5,45.4,2022,Pasir Panjang
25,26 Apr,0.0,0.0,0.0,0.0,29.0,31.9,26.8,6.2,22.6,2022,Pasir Panjang
26,27 Apr,0.2,0.2,0.2,0.2,28.7,32.1,27.2,6.4,27.4,2022,Pasir Panjang
27,28 Apr,43.2,22.8,31.4,40.0,28.3,32.0,24.1,6.4,72.8,2022,Pasir Panjang
28,29 Apr,0.0,0.0,0.0,0.0,29.2,31.4,26.9,8.8,32.8,2022,Pasir Panjang
29,30 Apr,17.6,17.4,17.6,17.6,28.4,31.5,23.8,8.3,80.2,2022,Pasir Panjang
0,1 Mar,0.0,0.0,0.0,0.0,27.9,32.1,26.1,10.7,38.5,2022,Pasir Panjang
1,2 Mar,21.2,13.8,20.8,21.2,27.3,32.7,23.9,10.8,40.0,2022,Pasir Panjang
2,3 Mar,7.8,5.0,5.6,7.2,27.3,32.6,24.8,11.5,58.7,2022,Pasir Panjang
3,4 Mar,0.0,0.0,0.0,0.0,28.2,32.4,25.9,12.1,41.9,2022,Pasir Panjang
4,5 Mar,0.0,0.0,0.0,0.0,27.9,32.5,25.9,11.7,45.0,2022,Pasir Panjang
5,6 Mar,0.0,0.0,0.0,0.0,27.5,30.3,26.0,7.9,27.8,2022,Pasir Panjang
6,7 Mar,46.4,23.4,42.8,46.2,27.3,31.5,23.7,10.0,58.0,2022,Pasir Panjang
7,8 Mar,0.0,0.0,0.0,0.0,27.9,30.8,25.8,8.4,35.9,2022,Pasir Panjang
8,9 Mar,5.6,2.6,2.8,3.0,28.1,32.0,26.4,9.2,28.5,2022,Pasir Panjang
9,10 Mar,10.8,6.0,6.4,6.6,27.0,31.4,23.4,10.4,80.2,2022,Pasir Panjang
10,11 Mar,1.2,1.0,1.0,1.2,27.8,32.1,26.1,9.2,38.9,2022,Pasir Panjang
11,12 Mar,0.6,0.6,0.6,0.6,27.9,32.8,25.6,10.6,46.9,2022,Pasir Panjang
12,13 Mar,0.0,0.0,0.0,0.0,28.8,33.4,26.0,8.3,44.3,2022,Pasir Panjang
13,14 Mar,0.0,0.0,0.0,0.0,29.1,32.7,27.2,9.0,32.0,2022,Pasir Panjang
14,15 Mar,29.0,10.4,17.4,24.2,26.8,29.9,23.8,9.3,41.1,2022,Pasir Panjang
15,16 Mar,10.0,7.6,9.4,10.0,28.1,30.6,25.3,8.2,53.3,2022,Pasir Panjang
16,17 Mar,0.4,0.4,0.4,0.4,28.1,31.8,26.1,7.2,37.0,2022,Pasir Panjang
17,18 Mar,0.6,0.6,0.6,0.6,28.4,32.2,25.4,10.0,40.4,2022,Pasir Panjang
18,19 Mar,0.0,0.0,0.0,0.0,29.7,33.7,26.7,8.8,37.0,2022,Pasir Panjang
19,20 Mar,0.0,0.0,0.0,0.0,28.5,30.0,25.5,9.6,46.9,2022,Pasir Panjang
20,21 Mar,1.2,0.6,1.0,1.2,28.5,31.1,24.7,9.2,77.8,2022,Pasir Panjang
21,22 Mar,0.0,0.0,0.0,0.0,29.2,31.9,28.1,9.0,30.6,2022,Pasir Panjang
22,23 Mar,0.0,0.0,0.0,0.0,29.2,31.9,27.5,7.7,31.3,2022,Pasir Panjang
23,24 Mar,0.0,0.0,0.0,0.0,28.8,32.8,26.6,8.2,41.5,2022,Pasir Panjang
24,25 Mar,0.0,0.0,0.0,0.0,29.1,32.9,27.1,8.7,31.7,2022,Pasir Panjang
25,26 Mar,0.0,0.0,0.0,0.0,29.0,33.4,27.1,9.3,32.8,2022,Pasir Panjang
26,27 Mar,0.0,0.0,0.0,0.0,29.7,33.4,27.0,10.1,48.2,2022,Pasir Panjang
27,28 Mar,0.0,0.0,0.0,0.0,28.9,33.3,27.5,8.4,34.6,2022,Pasir Panjang
28,29 Mar,20.6,17.2,20.2,20.6,28.3,33.9,23.6,9.4,58.7,2022,Pasir Panjang
29,30 Mar,0.0,0.0,0.0,0.0,29.1,32.2,26.9,7.7,28.9,2022,Pasir Panjang
30,31 Mar,4.4,4.4,4.4,4.4,28.4,31.7,24.8,9.9,78.9,2022,Pasir Panjang
0,1 Feb,0.0,0.0,0.0,0.0,28.2,32.4,26.0,14.3,45.0,2022,Pasir Panjang
1,2 Feb,3.0,3.0,3.0,3.0,28.1,30.9,25.9,9.6,27.8,2022,Pasir Panjang
2,3 Feb,0.0,0.0,0.0,0.0,28.6,32.6,26.0,11.5,40.0,2022,Pasir Panjang
3,4 Feb,0.0,0.0,0.0,0.0,28.6,32.6,26.6,14.9,46.1,2022,Pasir Panjang
4,5 Feb,2.8,2.2,2.6,2.6,27.7,31.9,25.7,11.9,39.3,2022,Pasir Panjang
5,6 Feb,28.6,10.6,16.6,18.6,26.1,28.7,24.0,10.0,42.8,2022,Pasir Panjang
6,7 Feb,0.6,0.6,0.6,0.6,26.6,30.1,24.0,13.3,73.7,2022,Pasir Panjang
7,8 Feb,0.6,0.2,0.4,0.4,26.4,30.4,24.4,10.6,44.6,2022,Pasir Panjang
8,9 Feb,30.6,23.6,27.6,27.8,26.3,30.1,23.5,8.9,34.3,2022,Pasir Panjang
9,10 Feb,13.2,2.8,4.8,5.8,24.9,26.1,24.2,12.0,53.7,2022,Pasir Panjang
10,11 Feb,3.2,2.6,2.6,2.6,25.9,29.4,23.9,8.8,37.4,2022,Pasir Panjang
11,12 Feb,9.0,7.0,7.4,9.0,27.1,32.6,24.7,10.2,52.6,2022,Pasir Panjang
12,13 Feb,0.2,0.2,0.2,0.2,27.4,30.3,25.4,8.0,32.8,2022,Pasir Panjang
13,14 Feb,0.0,0.0,0.0,0.0,28.4,32.0,25.8,9.5,28.5,2022,Pasir Panjang
14,15 Feb,3.0,2.4,2.8,2.8,28.4,31.8,26.4,8.6,47.2,2022,Pasir Panjang
15,16 Feb,4.4,3.2,3.6,4.4,26.7,28.4,23.0,7.0,68.0,2022,Pasir Panjang
16,17 Feb,0.0,0.0,0.0,0.0,28.2,32.1,24.5,11.1,59.1,2022,Pasir Panjang
17,18 Feb,0.0,0.0,0.0,0.0,29.1,32.7,27.1,9.5,29.4,2022,Pasir Panjang
18,19 Feb,0.0,0.0,0.0,0.0,27.8,31.1,25.8,9.8,48.9,2022,Pasir Panjang
19,20 Feb,10.4,4.8,6.6,9.2,27.3,32.2,23.1,8.6,47.8,2022,Pasir Panjang
20,21 Feb,0.0,0.0,0.0,0.0,28.4,33.5,25.9,10.4,38.9,2022,Pasir Panjang
21,22 Feb,0.0,0.0,0.0,0.0,28.5,33.0,26.0,11.7,37.0,2022,Pasir Panjang
22,23 Feb,0.0,0.0,0.0,0.0,28.3,31.7,26.3,13.0,43.5,2022,Pasir Panjang
23,24 Feb,18.4,3.8,6.4,9.6,25.2,27.1,23.6,-,-,2022,Pasir Panjang
24,25 Feb,0.0,0.0,0.0,0.0,27.0,30.9,23.9,13.0,46.9,2022,Pasir Panjang
25,26 Feb,0.0,0.0,0.0,0.0,27.5,29.4,26.1,7.8,31.7,2022,Pasir Panjang
26,27 Feb,5.2,3.6,3.8,4.2,26.6,30.2,23.3,9.0,35.0,2022,Pasir Panjang
27,28 Feb,0.0,0.0,0.0,0.0,27.9,32.1,25.4,9.9,36.7,2022,Pasir Panjang
0,1 Jan,6.2,4.0,5.0,5.8,25.3,29.4,23.6,7.2,41.1,2022,Pasir Panjang
1,2 Jan,46.8,17.2,27.4,33.4,24.0,24.9,23.1,12.1,47.8,2022,Pasir Panjang
2,3 Jan,1.6,1.4,1.4,1.4,25.3,27.4,23.4,11.2,39.6,2022,Pasir Panjang
3,4 Jan,5.4,5.2,5.2,5.4,25.8,29.2,24.1,11.3,34.6,2022,Pasir Panjang
4,5 Jan,5.6,4.2,5.6,5.6,27.3,31.5,25.1,10.4,40.0,2022,Pasir Panjang
5,6 Jan,0.2,0.2,0.2,0.2,28.2,32.8,25.7,10.4,33.5,2022,Pasir Panjang
6,7 Jan,17.4,6.2,6.4,12.8,27.6,32.0,25.4,10.4,36.7,2022,Pasir Panjang
7,8 Jan,0.6,0.6,0.6,0.6,27.7,31.1,25.8,13.1,40.0,2022,Pasir Panjang
8,9 Jan,0.0,0.0,0.0,0.0,28.3,31.9,26.0,12.5,40.4,2022,Pasir Panjang
9,10 Jan,0.0,0.0,0.0,0.0,28.4,32.1,26.3,13.7,38.2,2022,Pasir Panjang
10,11 Jan,0.0,0.0,0.0,0.0,27.9,31.2,25.8,11.5,33.5,2022,Pasir Panjang
11,12 Jan,0.0,0.0,0.0,0.0,27.9,32.2,25.5,14.0,38.5,2022,Pasir Panjang
12,13 Jan,0.0,0.0,0.0,0.0,27.8,32.2,25.1,13.9,39.6,2022,Pasir Panjang
13,14 Jan,0.0,0.0,0.0,0.0,27.7,31.3,25.7,14.7,41.9,2022,Pasir Panjang
14,15 Jan,0.0,0.0,0.0,0.0,28.0,32.4,25.8,15.0,41.1,2022,Pasir Panjang
15,16 Jan,0.0,0.0,0.0,0.0,28.2,32.5,25.9,14.4,38.9,2022,Pasir Panjang
16,17 Jan,5.4,4.8,5.2,5.4,27.3,30.1,25.6,13.4,39.6,2022,Pasir Panjang
17,18 Jan,0.0,0.0,0.0,0.0,28.1,31.8,25.8,14.7,39.6,2022,Pasir Panjang
18,19 Jan,0.4,0.4,0.4,0.4,27.6,30.5,25.8,13.1,46.5,2022,Pasir Panjang
19,20 Jan,19.8,18.8,19.4,19.6,27.3,32.2,22.5,10.8,55.0,2022,Pasir Panjang
20,21 Jan,0.0,0.0,0.0,0.2,27.7,32.3,25.1,13.2,37.4,2022,Pasir Panjang
21,22 Jan,0.0,0.0,0.0,0.0,27.8,33.1,25.4,12.3,37.0,2022,Pasir Panjang
22,23 Jan,0.0,0.0,0.0,0.0,28.0,32.2,25.5,9.8,32.4,2022,Pasir Panjang
23,24 Jan,0.0,0.0,0.0,0.0,27.6,31.1,25.7,10.8,30.2,2022,Pasir Panjang
24,25 Jan,0.0,0.0,0.0,0.0,28.3,32.7,25.5,11.6,34.6,2022,Pasir Panjang
25,26 Jan,0.0,0.0,0.0,0.0,28.1,32.5,25.9,10.4,37.0,2022,Pasir Panjang
26,27 Jan,0.0,0.0,0.0,0.0,28.3,33.1,25.8,10.1,33.9,2022,Pasir Panjang
27,28 Jan,7.6,7.4,7.6,7.6,28.3,33.9,25.7,10.7,33.5,2022,Pasir Panjang
28,29 Jan,11.8,11.8,11.8,11.8,27.7,32.7,25.5,10.5,38.2,2022,Pasir Panjang
29,30 Jan,0.4,0.2,0.2,0.4,27.5,32.4,25.4,11.4,33.5,2022,Pasir Panjang
30,31 Jan,0.0,0.0,0.0,0.0,28.1,33.1,25.6,11.4,33.9,2022,Pasir Panjang
0,1 Dec,0.0,0.0,0.0,0.0,29.8,32.6,27.5,9.1,27.0,2021,Pasir Panjang
1,2 Dec,3.6,2.6,2.6,2.6,26.7,29.3,23.8,9.6,55.0,2021,Pasir Panjang
2,3 Dec,0.0,0.0,0.0,0.0,27.5,30.4,25.7,12.2,43.5,2021,Pasir Panjang
3,4 Dec,0.0,0.0,0.0,0.0,27.6,30.8,25.4,14.5,45.7,2021,Pasir Panjang
4,5 Dec,0.0,0.0,0.0,0.0,27.8,30.4,26.3,12.2,41.5,2021,Pasir Panjang
5,6 Dec,0.0,0.0,0.0,0.0,28.0,30.6,26.2,13.2,44.3,2021,Pasir Panjang
6,7 Dec,0.0,0.0,0.0,0.0,28.6,31.8,26.6,14.7,46.1,2021,Pasir Panjang
7,8 Dec,0.0,0.0,0.0,0.0,28.2,31.6,26.7,15.0,50.7,2021,Pasir Panjang
8,9 Dec,4.8,3.8,4.4,4.4,28.0,32.2,25.9,11.4,67.0,2021,Pasir Panjang
9,10 Dec,57.6,23.6,26.0,38.8,26.8,30.8,23.9,10.8,46.1,2021,Pasir Panjang
10,11 Dec,9.8,4.0,5.8,7.0,26.5,30.3,25.2,9.4,33.2,2021,Pasir Panjang
11,12 Dec,0.0,0.0,0.0,0.0,26.7,28.9,25.8,10.9,37.8,2021,Pasir Panjang
12,13 Dec,0.0,0.0,0.0,0.0,27.1,30.1,25.5,12.2,57.6,2021,Pasir Panjang
13,14 Dec,0.4,0.4,0.4,0.4,28.0,31.3,25.9,11.7,45.0,2021,Pasir Panjang
14,15 Dec,2.0,1.8,2.0,2.0,27.9,30.6,25.9,12.1,59.1,2021,Pasir Panjang
15,16 Dec,0.0,0.0,0.0,0.0,28.0,29.8,26.3,17.4,57.6,2021,Pasir Panjang
16,17 Dec,9.2,2.2,2.2,2.8,27.2,28.9,25.0,19.7,58.7,2021,Pasir Panjang
17,18 Dec,7.4,6.6,7.0,7.4,27.6,30.1,24.6,12.9,56.9,2021,Pasir Panjang
18,19 Dec,19.4,12.2,15.8,17.6,27.1,29.4,23.8,14.5,54.1,2021,Pasir Panjang
19,20 Dec,0.0,0.0,0.0,0.0,27.5,30.8,25.4,9.6,27.0,2021,Pasir Panjang
20,21 Dec,0.0,0.0,0.0,0.0,28.2,31.9,25.7,10.6,27.8,2021,Pasir Panjang
21,22 Dec,0.0,0.0,0.0,0.0,27.9,30.5,26.6,9.4,34.6,2021,Pasir Panjang
22,23 Dec,0.0,0.0,0.0,0.0,27.3,29.3,25.8,8.1,24.8,2021,Pasir Panjang
23,24 Dec,3.6,2.2,3.6,3.6,27.3,29.6,26.0,8.2,26.7,2021,Pasir Panjang
24,25 Dec,45.2,24.2,31.0,33.8,26.8,30.8,23.7,9.7,43.9,2021,Pasir Panjang
25,26 Dec,8.4,6.4,8.0,8.2,27.2,30.8,25.6,10.3,55.4,2021,Pasir Panjang
26,27 Dec,16.0,14.6,15.8,15.8,27.6,32.4,24.7,11.0,35.9,2021,Pasir Panjang
27,28 Dec,0.0,0.0,0.0,0.2,28.1,31.6,25.8,11.5,35.2,2021,Pasir Panjang
28,29 Dec,1.8,1.8,1.8,1.8,27.4,30.1,25.7,9.8,39.6,2021,Pasir Panjang
29,30 Dec,33.8,19.8,20.6,20.6,26.9,30.7,24.6,9.2,49.3,2021,Pasir Panjang
30,31 Dec,31.8,9.4,13.2,20.0,25.2,26.3,23.3,10.1,36.3,2021,Pasir Panjang
0,1 Nov,10.8,8.8,9.6,10.8,26.6,30.3,24.0,9.1,54.1,2021,Pasir Panjang
1,2 Nov,6.2,3.0,4.4,6.0,26.3,30.4,23.9,10.4,51.5,2021,Pasir Panjang
2,3 Nov,21.2,13.8,16.8,20.8,26.5,29.4,24.7,8.5,33.2,2021,Pasir Panjang
3,4 Nov,16.2,8.8,10.2,15.2,27.1,30.2,24.8,10.3,43.2,2021,Pasir Panjang
4,5 Nov,16.0,12.8,15.4,15.4,26.8,30.3,24.9,8.3,35.9,2021,Pasir Panjang
5,6 Nov,0.4,0.4,0.4,0.4,28.1,31.2,25.4,7.1,26.7,2021,Pasir Panjang
6,7 Nov,1.8,0.6,1.0,1.6,27.7,28.9,26.4,7.9,23.7,2021,Pasir Panjang
7,8 Nov,0.2,0.2,0.2,0.2,27.5,28.7,26.0,7.5,33.2,2021,Pasir Panjang
8,9 Nov,20.4,18.4,19.4,19.8,27.1,31.6,24.8,8.9,51.1,2021,Pasir Panjang
9,10 Nov,6.0,2.8,4.0,5.0,26.2,28.4,24.4,16.1,56.5,2021,Pasir Panjang
